"city","date","hour","avg_temperature_c","avg_pressure_mm"
Kazan,2023-07-12,23,-27,785
Kazan,2023-08-12,0,-27,785
Kazan,2023-08-12,1,-27,785
Kazan,2023-08-12,2,-28,785
Kazan,2023-08-12,3,-28,785
Kazan,2023-08-12,4,-29,785
Kazan,2023-08-12,5,-29,785
Kazan,2023-08-12,6,-29,785
Kazan,2023-08-12,7,-29,785
Kazan,2023-08-12,8,-28,785
Kazan,2023-08-12,9,-28,785
Kazan,2023-08-12,10,-27,785
Kazan,2023-08-12,11,-27,785
Kazan,2023-08-12,12,-27,785
Kazan,2023-08-12,13,-27,785
Kazan,2023-08-12,14,-27,785
Kazan,2023-08-12,15,-27,786
Kazan,2023-08-12,16,-27,786
Kazan,2023-08-12,17,-27,786
Kazan,2023-08-12,18,-28,786
Kazan,2023-08-12,19,-28,786
Kazan,2023-08-12,20,-28,786
Kazan,2023-08-12,21,-28,786
Kazan,2023-08-12,22,-28,786
Kazan,2023-08-12,23,-28,786
Kazan,2023-09-12,0,-31,787
Kazan,2023-09-12,1,-31,787
Kazan,2023-09-12,2,-31,787
Kazan,2023-09-12,3,-31,787
Kazan,2023-09-12,4,-31,787
Kazan,2023-09-12,5,-31,787
Kazan,2023-09-12,6,-31,787
Kazan,2023-09-12,7,-30,787
Kazan,2023-09-12,8,-30,787
Kazan,2023-09-12,9,-29,787
Kazan,2023-09-12,10,-29,787
Kazan,2023-09-12,11,-28,787
Kazan,2023-09-12,12,-28,787
Kazan,2023-09-12,13,-28,787
Kazan,2023-09-12,14,-27,787
Kazan,2023-09-12,15,-27,787
Kazan,2023-09-12,16,-27,787
Kazan,2023-09-12,17,-27,786
Kazan,2023-09-12,18,-27,786
Kazan,2023-09-12,19,-26,786
Kazan,2023-09-12,20,-26,786
Kazan,2023-09-12,21,-26,786
Kazan,2023-09-12,22,-26,786
Moscow,2023-07-12,23,-15,782
Moscow,2023-08-12,0,-13,782
Moscow,2023-08-12,1,-14,782
Moscow,2023-08-12,2,-15,782
Moscow,2023-08-12,3,-15,782
Moscow,2023-08-12,4,-16,782
Moscow,2023-08-12,5,-17,782
Moscow,2023-08-12,6,-18,782
Moscow,2023-08-12,7,-18,782
Moscow,2023-08-12,8,-18,782
Moscow,2023-08-12,9,-17,782
Moscow,2023-08-12,10,-17,781
Moscow,2023-08-12,11,-17,781
Moscow,2023-08-12,12,-17,781
Moscow,2023-08-12,13,-17,781
